periodo,MIA_nucleo,sub_Ejecutivo,sub_Legislativo,sub_Judicial,sub_Prensa,sub_Banco Central,ejes_cubiertos
2022-07,52.36704560598492,55.61301447346844,58.10097591297592,67.77333333333333,56.09632407407409,13.958872023809525,5
2022-08,52.26781133457964,56.58805649701336,57.13431468531469,67.77333333333333,55.67625925925926,13.056172619047619,5
2022-09,52.31200977953746,57.62505207088394,56.831837606837595,67.77333333333333,55.25619444444445,12.100205357142855,5
2022-10,52.66183397479889,59.09086163289052,57.246817404817406,67.77333333333333,54.836129629629646,11.367505952380954,5
2022-11,53.06878424142538,59.89462827788,58.679862470862474,67.77333333333333,54.41606481481481,10.982312499999997,5
2022-12,53.45843780445989,60.481897610169135,58.90956954156954,67.77333333333333,53.99600000000001,12.519252976190476,5
2023-01,53.26955157263007,59.04413179070593,59.01094327894329,67.77333333333333,53.689503086419755,14.306875,5
2023-02,53.11441894304284,57.5527677093578,59.462357420357414,67.77333333333333,53.38300617283951,15.95999702380952,5
2023-03,52.8822352812146,55.8984770663456,59.915491064491064,67.77333333333333,53.07650925925926,17.423005952380947,5
2023-04,52.62621152865342,54.20251205282881,60.31257420357421,67.77333333333333,52.77001234567902,18.885163690476187,5
2023-05,52.366290869091806,53.13033639549574,60.31066511266512,67.77333333333333,52.463515432098774,19.60575297619048,5
2023-06,52.37637249356749,52.45258209065915,61.3089121989122,67.77333333333333,52.15701851851853,20.00397321428571,5
2023-07,52.2423860621748,51.060013520340576,62.8000404040404,67.77333333333333,51.85052160493827,20.21419345238095,5
2023-08,52.15478288433413,49.39549467807173,64.30099689199689,67.77333333333333,51.544024691358025,21.264431547619044,5
2023-09,51.67689192820623,47.28021045966438,64.66086790986792,67.77333333333333,51.23752777777778,22.135729166666664,5
2023-10,51.16425500262167,45.24936530170213,64.92393084693084,67.77333333333333,50.931030864197524,22.735586309523807,5
2023-11,50.347382758415606,43.02168980932012,64.06437296037296,67.77333333333333,50.62453395061728,23.197696428571422,5
2023-12,49.82186761249261,41.02727046992671,64.80989044289045,67.77333333333333,50.318037037037044,22.995574404761896,5
2024-01,50.68781408786289,42.109150009271026,65.8480745920746,67.77333333333333,52.64983333333334,22.888749999999998,5
2024-02,51.47281742214123,43.025099805220826,66.65031934731935,67.77333333333333,54.98162962962964,22.888749999999998,5
2024-03,47.94033564701023,44.04273170073749,66.0691857031857,47.37940142917192,57.313425925925934,22.938565476190472,5
2024-04,48.2970294052473,44.80442444982461,65.49037529137529,46.62968714345763,59.64522222222223,23.232708333333328,5
2024-05,48.3825702540227,44.18650414572783,64.9437466977467,45.87997285774335,61.97701851851851,24.435482142857143,5
2024-06,48.274142776693765,43.414420839170845,63.12414374514375,45.13025857202907,64.30881481481482,26.350758928571434,5
2024-07,48.66143542083689,42.70927838902839,61.516783216783224,44.38054428631478,66.64061111111111,31.153964912280703,5
